Слово,Текст,Оценка
Тайланд,"Используйте, когда речь идёт о поездке",0
душ,5,0
арбуз,Предложите найти в предложении сахарный,0
школа,"Это, по сути, будет разговор взрослых о жизни",0
род,"В качестве глагола используйте глагол ""выручить""",0
кино,"Приведите примеры художественных произведений искусства, которые вы любите",0
глупый,"Круглый стол Составьте предложение, используя слово ""глупый""",1
локоть,"Если вы поставите вопрос о родственных и не родственных соединениях, то оно Составьте предложение, используя слово ""локоть""",1
пижама,"Коктейль “Oil of the Night” Составьте предложение, используя слово ""пижама""",1
форма,3,0
немец,"Например: Я должен закончить университет в Мюнхене; Я считаю это правильным; Я хочу, чтобы Составьте предложение, используя слово ""немец""",1
уверенный,"(Слово ""уверенно"" используется в двух значениях: ""поддержа Составьте предложение, используя слово ""уверенный""",1
гостиная,"Предложите гостям разделить свои комнаты на отдельные зоны, чтобы каждый мог общаться с любым гост Составьте предложение, используя слово ""гостиная""",1
зеленый,"Как правило люди, которые любят зеленый цвет, обладают чувством юмора и оптимизмом",1
ладно,Из трех предложенных предложений следует составить три предложения,0
видно,Сделайте это,0
тест,— Сказал Лана,0
Мексика,"Затем измените текст так, чтобы он содержал все эти слова""",0
смешивать,"Выбирая одежду для детей, учитывайте, что малышу лучше подойдет одежда для грудничка Составьте предложение, используя слово ""смешивать""",1
молоко,"В предложениях с использованием однородных членов слова молочная кислота, используются также суффиксы Составьте предложение, используя слово ""молоко""",1
зарабатывать,"Например,: 10 000 — 100 000 — 10 000 — 100 000",0
душно,"Для составления предложений используйте глагол, используемый для описания состава воздуха, а именно: Составьте предложение, используя слово ""душно""",1
Япония,"В таком случае в тексте ""Иллюстрации К",0
род,"Дополнительная информация Составьте предложение, используя слово ""род""",1
выезд,"Он может состоять из 2х-4-х предложений: 2) Изменение или отмен Составьте предложение, используя слово ""выезд""",1
предпочесть,"— Откуда вы знаете, что я здесь? — спросила девушка",0
писать,"И если вы хотите чтобы читатель ""изобразил"" образ, вы можете сделать из Составьте предложение, используя слово ""писать""",1
закрыто,"Запишите название и краткую (не менее 2 предложений) формулу: ""Вступление Составьте предложение, используя слово ""закрыто""",1
фотограф,А.И.Степашин,0
широкий,"Это позволит вам говорить об их достоинствах, а также о способах их преодоления",0
хомяк,"""Хомяк"" не несет в себе функции ""дом, квартира"", нет ни малейшего понятия Составьте предложение, используя слово ""хомяк""",1
муравей,"Если вы нашли ошибку, выделите фрагмент текста и нажмите Ctrl+Enter",0
посол,"Воображение (Суть) - это слово во второй вкладке, предназначенное для описания Составьте предложение, используя слово ""посол""",1
имя,"Для выбора значения используйте следующую форму: (*) Составьте предложение, используя слово ""имя""",1
работать,1,0
наполовину,"Пример: Я занимаюсь наукой, у меня есть деньги для науки и т Составьте предложение, используя слово ""наполовину""",1
смело,- Не верю,0
кровать,"-- ------- Составьте предложение, используя слово ""кровать""",1
домой,"Дайте ему определение: ""Дом - это место обитания человека, куда он приходит, где он Составьте предложение, используя слово ""домой""",1
верно,"Например, Вы не можете найти ответы на следующие вопросы",0
везде,Я бы хотела купить это платье! (презрительно),0
Финляндия,"Не стоит делать акцент на территории этого государства, так как это не будет способствовать вашей Составьте предложение, используя слово ""Финляндия""",1
жизнь,"Это слово можно написать ""Счастье"", а вот ""счастье"" в предложении будет Составьте предложение, используя слово ""жизнь""",1
внутри,"Например, мы хотим провести праздник в лесу, где все животные под зонтиками",0
однажды,"""Первая любовь для двух лет",0
высокий,"Сравните его с ""низкими"" словами",0
сложно,"Предложения со слова ""сложно"" могут иметь только один вариант ответа (в скобках Составьте предложение, используя слово ""сложно""",1
стекло,"При помощи этого слова можно выразить и его цвет, а также его количество",0
открыто,"Практическая программа тренинга Составьте предложение, используя слово ""открыто""",1
чуточку,"Если составление предложения будет отличаться от построения предложения ""чуть больше"", то предложите, используя Составьте предложение, используя слово ""чуточку""",1
выяснить,1,0
паук,"Чтобы написать предложение с картинкой, воспользуйтесь следующей строчкой",0
субъект,"Если вам нужна запятая в предложении с подлежащим, используйте слово ""субстра Составьте предложение, используя слово ""субъект""",1
переводчик,"Впишите слова из словарика: переводчики слова ""переводчик"" имеют, Составьте предложение, используя слово ""переводчик""",1
популярный,"&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp Составьте предложение, используя слово ""популярный""",1
одеяло,"В словосочетании ""одеяло"" нужно использовать глагол ""одеяло"", а в предложении Составьте предложение, используя слово ""одеяло""",1
гол,Подберите глаголы с однородными корнями,1
гель,Напишите его простыми словами,0
путь,"Для этого выберите в форме поиска ""вход""",0
давать,"Если предложение, которое включает в себя слова ""давать"" и ""получать"", является Составьте предложение, используя слово ""давать""",1
милиционер,"(Милиционеры на дорогах РФ) Составьте предложение, используя слово ""милиционер""",1
смородина,"""С"" — это слово с приставкой на конце",0
мяч,"""Построим, а после построим!"" Составьте предложение, используя слово ""мяч""",1
собирать,"При этом можно составить и предложение с использованием слова ""написать""",0
включать,"Это будет зависеть от того, как вы решите, что это именно ваш проект - из Составьте предложение, используя слово ""включать""",1
прохладный,А,0
конкурс,"Если слово конкурса не очень длинное, можно составить предложение с предлогом ""развлекательный"" и Составьте предложение, используя слово ""конкурс""",1
царь,"Предложите выбрать царя (представьте себе, что это – Иван Грозный, терем-сам Составьте предложение, используя слово ""царь""",1
сильный,"В предложении используйте синонимы: ""сильный"", ""умелый"", "" Составьте предложение, используя слово ""сильный""",1
пойти,"Ознакомившись с положением дел на сайте, я поняла, что я не смогу Составьте предложение, используя слово ""пойти""",1
аттракцион,"Как Вы обычно смотрите спектакль? Составьте предложение, используя слово ""аттракцион""",1
вечеринка,"Составьте предложение на тему ""Сборная России по игре в ""Динамо""",0
пустыня,Говорить о пустыне и пустыне - не самое худшее,0
полиция,Запишите в этом поле вопросительное слово или утверждение,0
часть,"Составьте предложение, используя слово ""часть""",1
быстрый,– Направь меня на одну или на другую планету,0
медуза,"В его состав входит несколько терминов: медуза, медный, золотой, зеленый Составьте предложение, используя слово ""медуза""",1
Венгрия,"В этом случае используется не только географическое название, но и прилагательные мужского рода и Составьте предложение, используя слово ""Венгрия""",1
ветреный,Поставьте предложение с отрицательными корнями,0
проснуться,"Прошел тест Напишите свои предложения и используйте слово Проснуться /Проснулся с Вами / Составьте предложение, используя слово ""проснуться""",1
паспорт,"Нарисовать паспорт, а потом сфотографировать удостоверение",1
часто,"Выпишите количество слов, характеризующих слово, так чтобы оно соответствовало общему стилю предложения",0
продавать,"Продавать или нет!  Какие вы знаете способы продавать? Составьте предложение, используя слово ""продавать""",1
механик,"Оно должно начинаться с заглавного буквы ""М"" и заканчиваться на шипящий Составьте предложение, используя слово ""механик""",1
далее,Из-за высокой цены у многих граждан сложилась тяжелая ситуация на жилищно-коммунальные услуги,0
тарелка,"При использовании стола или тарелок ""тарелка""",1
пилот,"Составьте предложение, используя слово ""пилот"".",1
инструмент,"Выберите из следующих предложении следующие слова в виде буквосочетания: Составьте предложение, используя слово ""инструмент""",1
молодец,- Ты же любишь животных и животных вообще,0
ударение,"И вот теперь - два слова, с помощью которых можно подобрать наиболее удачную Составьте предложение, используя слово ""ударение""",1
нравиться,"После нажатия кнопки ""Добавить в комментарий"" текст комментария будет отображаться по одному кли Составьте предложение, используя слово ""нравиться""",1
дизайн,"Составьте на основе предложений, используя слово ""дизайн"", которые составляют предложения из четырех или Составьте предложение, используя слово ""дизайн""",1
вход,"После ""вход"" следует ""гнёздышко"" и ""гнездо Составьте предложение, используя слово ""вход""",1
плавание,"Напишите предложение, используя слово ""плавание"": Составьте предложение, используя слово ""плавание""",1
карандаш,"Например, ""Я люблю рисовать карандашом по бумажке, с изображением животных, деревьев, Составьте предложение, используя слово ""карандаш""",1
иностранец,"Как правило, вы пишите: ""Я, вероятно, знаю о вас много интересного, Составьте предложение, используя слово ""иностранец""",1
жилет,"4. Подпишите любое предложение, используя слово ""китель""",0
вторник,"Пример предложения: Составьте предложение, используя слово ""вторник""",1
костюм,"ЧТО СОЗДАТЬ ДЛЯ СЕБЯ ЕЩЕ ОДИН К Составьте предложение, используя слово ""костюм""",1
смело,"Он вам нравится, а вы можете его изменить",0
рука,"Если у вас есть предложение на тему ""Как изменить отношения с мужем"", то введите в эту Составьте предложение, используя слово ""рука""",1
слишком,"Отразите их в форме предложения со словом ""слишком""",1
особенно,"* - обязательно для заполнения Составьте предложение, используя слово ""особенно""",1
черепаха,- Ты только взгляни..,0
ежедневно,"Написание сложного предложения начинается с числа 3-6: Составьте предложение, используя слово ""ежедневно""",1
общежитие,"И если предложенная характеристика является общим местом, и ее можно составить только в контексте данного произведения Составьте предложение, используя слово ""общежитие""",1
затем,Пример предложения: За окном стоит большой белый дом,0
ниже,"Выберите слово в верхней части поля, и из предложенной таблицы выберите слово на картинке",0
иногда,В этом случае из предложного можно выделить существительное,0
алфавит,"При помощи этой функции можно заменить на ""что"" ряд слов в словаре",0
мороженое,Неправильный глагол,0
радостно,"В случае отсутствия предложений, приведите примеры",0
резина,"Дайте характеристику, используя его со словом ""колеса"", но дайте образную характеристи Составьте предложение, используя слово ""резина""",1
наружу,"С помощью слова ""наружу"" мы получаем подсказку для правильного выбора",1
словарь,"Например: ""Словарь иностранных слов""",1
стенд,Составьте 3 предложений и соедините их между собой,0
килограмм,Укажите размеры изделия,0
живот,"Что лучше? Составьте предложение, используя слово ""живот""",1
пирамида,"Выразите предложение с большой буквы, например ""пирамида"" (круг Составьте предложение, используя слово ""пирамида""",1
оставить,"Впишите в него слова, которые употребляются в прошедшем предложении",0
сдача,"Как это сделать? Составьте предложение, используя слово ""сдача""",1
лосины,"Если вы найдете правильный союз, получится предложение, которое получится из этих слов",0
смотреть,"Например: ""В лесу растут олени"" или ""Лови волну""",0
рыло,Например:..,0
копейка,"копейка - рубли, чекума - рубли, чекмен - Составьте предложение, используя слово ""копейка""",1
тетрадь,"Подчеркните глагол-глагол, использующийся для указания, что, Составьте предложение, используя слово ""тетрадь""",1
далее,"Например, мы продаём книги, и она говорит: ""Я покупаю только один экземпляр""",0
вслух,"Например: ""Пора ехать домой",0
имя,Найдите в нем значение этого слова,0
юбка,"Варианты предложений с употреблением сочетания, предложного союза, спряжения, суф Составьте предложение, используя слово ""юбка""",1
повсюду,"Приложите слова, характеризующие ваше предложение: ""Все люди равны у реки"" -- Составьте предложение, используя слово ""повсюду""",1
опера,"Если вы хотите, чтобы ваши дети хорошо рисовали и выполняли задание, то им обязательно пригодится твор Составьте предложение, используя слово ""опера""",1
посуда,"В этом случае я выезжаю по адресу, указанному на вашей аватарке: Составьте предложение, используя слово ""посуда""",1
снимать,"В этом предложении соедините части слов ""снять"", ""убрать"", ""под Составьте предложение, используя слово ""снимать""",1
велосипед,"""Если Вы хотите найти и купить велосипед, который станет Вашей зимней игрушкой, то Составьте предложение, используя слово ""велосипед""",1
зло,"3:\t Составьте предложение, используя слово ""зло""",1
повсюду,"Его смысл понятен: ""Все здесь""."" Составьте предложение, используя слово ""повсюду""",1
заклинание,Это один из наиболее сильных магических приемов,0
февраль,"Февраль — это месяц сбора урожая, который длится уже третий месяц",1
ужин,"Вариант с завтраком – это, конечно, вкусно",0
пожарный,Выжмите несколько слов из предложения,0
журнал,"Оно заключается в следующем: на одной полосе, с одной фотографии — ваша дочь с мамой, Составьте предложение, используя слово ""журнал""",1
бедро,"В нем обозначьте, что вы являетесь обладателем высокого морального и социального рейтинга",0
ясный,"Применительно к словосочетанию ""ошибочный выбор"", предложите следующую формулу: А Составьте предложение, используя слово ""ясный""",1
прохладно,"Вариантов предложений несколько: жаргонов (горячо) прохладно(- Составьте предложение, используя слово ""прохладно""",1
бородатый,Так же пишите с разными значками,0
темный,"Пример предложения ""Темные силуэты"", Составьте предложение, используя слово ""темный""",1
петух,"Напишите сочинение по теме ""Петух"" и подпишите решение""",1
камень,"В предложении необходимо отразить два слова: ""мёд"" и ""...на"" ( Составьте предложение, используя слово ""камень""",1
выходить,"Подходят ли друг другу два разных языка, что означает ""выходить""? Составьте предложение, используя слово ""выходить""",1
глухо,"- Что тебе нужно, парень? - в глазах Сати появилась тревога, хотя в Составьте предложение, используя слово ""глухо""",1
лист,"И, пожалуйста, напишите в форме выше слова ""лист""",1
начало,"Если оно есть, укажите: Составьте предложение, используя слово ""начало""",1
шахматы,В этом предложении Вы будете представлены по очереди,0
глаз,"Вводным словом будет ""космос"", ""космос"", ""космосный город"" или Составьте предложение, используя слово ""глаз""",1
снежок,"Я хочу снежок, я хочу снежок",1
июль,"Слово ""июль"" пишется в начале слова с предлогом и без",1
надевать,"-------------------------------------------------✂ Составьте предложение, используя слово ""надевать""",1
вдова,"- Как Вы догадались? Составьте предложение, используя слово ""вдова""",1
женатый,"что сделать, чтобы ваш друг (она) не догадался об этом? Составьте предложение, используя слово ""женатый""",1
шампунь,Шампунь – это гигиенические средства для мытья посуды и мытья посуды,1
кукла,"Стихотворение из ""Алексея Сорокина"" Составьте предложение, используя слово ""кукла""",1
укроп,В России существует более 7 тыс,0
наверху,"Сформулируйте предложение в виде треугольника, круга, квадрата, ромма и т Составьте предложение, используя слово ""наверху""",1
суп,"Это может быть: ""Нельзя на самом деле говорить про ""суп"" или ""не знаю про Составьте предложение, используя слово ""суп""",1
итого,"Определите, что за действие происходит: Составьте предложение, используя слово ""итого""",1
мелко,"Предложение состоит из двух частей – 1.1, 1.2 или 1.3",0
прямо,В предложении обязательно должно быть одно из вышеперечисленных утверждений,0
оливки,Я сдержу это слово,0
ходить,"При использовании этого слова желательно употреблять в одном предложении сразу два предложения, желательно в одном роде Составьте предложение, используя слово ""ходить""",1
назад,"По поводу слова ""назад"" есть одно предположение",1
зал,"636825	zoya-bushan	2013- Составьте предложение, используя слово ""зал""",1
чашка,3,0
кино,"Кинофильм в большом кадре — это один из способов подчеркнуть и увековечить узнаваемость Составьте предложение, используя слово ""кино""",1
кит,"Кит: КИТ: КИТ Составьте предложение, используя слово ""кит""",1
экран,"5778010	topasoz	2010-02- Составьте предложение, используя слово ""экран""",1
стоматолог,"Ищите более подходящее, чем ""стоматолог""",1
телевизор,"Составьте предложение, используя слово ""телевизор""",1
победитель,"Сформулируйте его в виде списка, состоящего из определённого количества вариантов, по Составьте предложение, используя слово ""победитель""",1
бумага,"Попробуйте, опираясь на его грамматические возможности и словарную базу",0
вслух,"Например, ""Я люблю тебя, моя любимая, больше всего этого замечательного человека"" Составьте предложение, используя слово ""вслух""",1
мышь,"Слова ""мышь"" и ""мышь"" не входят в состав предложения, а состоят Составьте предложение, используя слово ""мышь""",1
киви,"В предложении со значением ""киви кошелек"" необходимо указать код C-104 Составьте предложение, используя слово ""киви""",1
свистеть,"25187733	kazaktmo	2002-12 Составьте предложение, используя слово ""свистеть""",1
упрямо,"""Скачать в интернете"" - для тех, кто с трудом разбирается или плохо Составьте предложение, используя слово ""упрямо""",1
деньги,"Слово ""деньги"" может иметь две формы: ""деньги"" и ""деньги Составьте предложение, используя слово ""деньги""",1
жадно,"Запишите слово или словосочетание, например: ""Жадно",1
мимо,"Если у вас есть слово ""там"", используйте слово ""там"", при этом слова ""там Составьте предложение, используя слово ""мимо""",1
юноша,"Но только не для того, чтобы поставить на место",0
палатка,"11840626	a-pamohov	2018- Составьте предложение, используя слово ""палатка""",1
учить,Вы можете задать вопрос в форме ниже и наши специалисты обязательно ответят на него,0
сохранить,"Содержимое документа не должно превышать 10 000 символов, включая пробелы, ти Составьте предложение, используя слово ""сохранить""",1
спрятать,"Когда вы начнете говорить, это будет слово ""погребальная""",0
волейбол,2,0
сквер,Найдите там подходящее словосочетание и добавьте его ко всему тексту,0
Финляндия,"Для обозначения территории, на которой находятся финны, используйте слово ""финляндия Составьте предложение, используя слово ""Финляндия""",1
коза,"Он с легкостью определит, на кого будет обижен (как на самого козлу, Составьте предложение, используя слово ""коза""",1
помнить,"Написать сочинение по истории России 19 века, желательно о самом первом русском царь-путеше Составьте предложение, используя слово ""помнить""",1
морковь,"Составьте словосочетание ""морковь""",1
песня,"Это слово используется в русском языке только в том значении, в котором слышится в данном предлож Составьте предложение, используя слово ""песня""",1
отлично,"По умолчанию, при составлении этого текста для него не используется такое слово",0
год,(Примечание,0
начинать,"Составляйте предложения и используйте слово ""начинать""",1
рано,"Спонтанный ""от"" и ""н"" Составьте предложение, используя слово ""рано""",1
любопытно,"Вычислите вероятность того, что в результате исследования ""независимо от пола и Составьте предложение, используя слово ""любопытно""",1
сандалии,"Составьте предложение, используя выражение ""сандалии""",1
куртка,"С помощью словосочетания ""куртка"" воспользуйтесь двумя или тремя вариантами: А) Составьте предложение, используя слово ""куртка""",1
собака,Можно с ним познакомиться,0
недобрый,Впишите пропущенные буквы,0
видно,"Укажите признак, относящийся к контексту",0
замечательный,"Подберите правильные слова и выражения, которые должны быть выражены, как правильные, так Составьте предложение, используя слово ""замечательный""",1
Канада,"Это может означать что-нибудь такое и в форме ""На Канаду"", и в Составьте предложение, используя слово ""Канада""",1
дружелюбный,Все остальное -- слова -- неопределенные,0
гриб,"Играйте в игру ""грибная"".Придумайте свой вариант",1
даром,"Если оно вам не понравится, выделите его мышкой и нажмите CTRL+Enter",0
леопард,- Почему-то я подумала..,0
папа,"Напишите на бумаге (5—7 букв с четвертью) ""поганые яйца Составьте предложение, используя слово ""папа""",1
лучше,7,0
сначала,"Далее в начале напишите текст ""сначала"" и переходите к следующему пункту",1
обидно,"Помогите составить предложение в предложениях со словом ""обидно"" по типу",1
тяжелый,"Под этим утверждением скрывается определение, которое нужно написать так: тяжелый в производстве — тяжелый Составьте предложение, используя слово ""тяжелый""",1
дизайн,3.1,0
запах,"В каком то смысле это и есть ""запах""",1
трусы,"Если вы хотите научиться быстро, быстро, быстро, быстро, быстро – выбирайте слова, Составьте предложение, используя слово ""трусы""",1
чувствовать,"По тексту, Вы должны объяснить, как вы знаете этот термин, а потом задайте свой Составьте предложение, используя слово ""чувствовать""",1
мечта,1.1,0
информация,"Предложение содержит в себе более 50 аргументов и имеет вид: ""Мне нужна информация - Составьте предложение, используя слово ""информация""",1
барсук,"Не забудьте указать возраст Вашего животного, когда Вы только его приобретаете",0
усы,"27571228	aunt-m	2007-10-30 Составьте предложение, используя слово ""усы""",1
круто,"И не думайте, что вы легко сочините, просто попробуйте",0
послезавтра,"Я, не вставая с постели, пошёл на работу",0
спрятать,Измени условия слова-запросов,0
сотовый,При этом предложение не должно быть сложным,0
жена,"Составьте предложение, используя слово ""любовник""",0
снимать,"С чего начать? Составьте предложение, используя слово ""снимать""",1
пират,"Как вы думаете, что это за ""пиратский"" режим Составьте предложение, используя слово ""пират""",1
стеллаж,"Если это предложение не требует уточнения, укажите слово ""стеллаж""",1
брать,"Как?  Давайте не будем тратить время на составление предложений, а сосредоточим его на том Составьте предложение, используя слово ""брать""",1
музыкальный,"При помощи специального словаря Вы найдете множество музыкальных произведений и исполнителей, имеющих в своем арсен Составьте предложение, используя слово ""музыкальный""",1
решать,Ищите логику решения,0
левый,"Если вы ответили верно на вопрос, почему мы решили, что вы ""говорите правильно Составьте предложение, используя слово ""левый""",1
жена,"Я не люблю женатую женщину в этой жизни, но в итоге она приходит к мне, я Составьте предложение, используя слово ""жена""",1
турист,Установите курсор на фотографию с указанием места в списке тура,0
шахматы,"Составьте предложение, используя слово ""шахматы"".",1
комод,"Затем определите, каким образом вы можете его оформить",0
блинчик,2,0
деревня,Это могут быть названия соседних деревень или населенные пункты,0
медленно,"Вы должны найти ошибку или неточность в тексте, которая могла бы быть исправлена",0
линейка,Линейка – это последовательность линий,1
замужем,"В этом предложении: Составьте предложение, используя слово ""замужем""",1
быть,"Вы можете выделить текст с тегами: имя, дата, место",0
клетка,"Выделите его, а потом напишите",0
свободно,"В предложении можно использовать следующие определения: ""свободно"", ""невозможно""",1
литр,"------ Составьте предложение, используя слово ""литр""",1
кресло,"Кресло имеет вид Составьте предложение, используя слово ""кресло""",1
майонез,1,0
библиотека,"Впишите предложенное предложение, используя его",0
выезд,"- Это же не я, и не ты",0
теперь,Это слово состоит из нескольких частей,0
лагерь,"Опишите с какой целью вы организуете лагерь, и я его составлю",1
опера,"Используйте в предложении глагол ""операция"", то есть, оперируйте глаголом ""операция Составьте предложение, используя слово ""опера""",1
сегодня,"Затем нажмите кнопку ""Изменить"" для поиска предложения",0
йод,"Для этого впишите в предложенное словосочетание значение, и вы получите в текст слова й Составьте предложение, используя слово ""йод""",1
нарочно,"У Вас получилось: Составьте предложение, используя слово ""нарочно""",1
посторонний,"– Разобрась в обстановке, – попросила я, чтобы придать этому Составьте предложение, используя слово ""посторонний""",1
лиса,"В зависимости от контекста, выбирайте вариант ""лесистая"", проверяя его логикой Составьте предложение, используя слово ""лиса""",1
движение,"Сделайте вид, что это предложение представляет собой вопросительный знак",0
покупка,"Составьте предложение, используя слово ""продам""",0
жираф,Напишите текст от руки,0
пластина,"Если нет - можно написать ""пластина""",1
рюкзак,"- ""Руке, руль, руль..",0
замужем,Отношения с друзьями..,0
спортзал,"Сочинение-рассуждение о жизни, любви, творчестве, отношениях в различных социальных ситуациях Составьте предложение, используя слово ""спортзал""",1
обезьяна,"Предложите представить себе, что по Вашему предложению кто-то или что-то сделал Составьте предложение, используя слово ""обезьяна""",1
старый,"(Это слово встречается в двух разных мнемонических категориях: 1) Старый и Составьте предложение, используя слово ""старый""",1
здоровый,"Не может быть! Составьте предложение, используя слово ""здоровый""",1
маленький,"Например, ""маленький"", то есть маленький",1
ярмарка,"Как известно, для этого мы должны использовать слово ""ярмарка"" (а не Составьте предложение, используя слово ""ярмарка""",1
спешить,— Я не спешу со вступлением,0
другой,"Если имеется в виду текст, используйте ""относительный словарь иностранных слов"", это означает, что Составьте предложение, используя слово ""другой""",1
